{'time': 1.647343397140503, 'x': -2.075591585880034, 'y': -0.03280587178954745, 'z': 0.7474435706876025, 'yaw': 0.04424527253140229, 'velocity': 0.007493390802815574, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6573388576507568, 'x': -2.075583843415885, 'y': -0.03282467341619087, 'z': 0.7474517402632275, 'yaw': 0.044798269014528214, 'velocity': 0.00219231644833963, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6673147678375244, 'x': -2.0755940819013117, 'y': -0.03280858354293501, 'z': 0.7474487212094261, 'yaw': 0.04461514129139834, 'velocity': 0.0019355310925996364, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6732738018035889, 'x': -2.075595794861197, 'y': -0.032813999734126006, 'z': 0.7474519577868154, 'yaw': 0.04488359456517506, 'velocity': 0.0010971493295998506, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6872363090515137, 'x': -2.0755979446384707, 'y': -0.0328672340212602, 'z': 0.7474987296077895, 'yaw': 0.04521097782030182, 'velocity': 0.007108157890598287, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.697209358215332, 'x': -2.075586424457953, 'y': -0.03280116542590182, 'z': 0.7474550859507729, 'yaw': 0.044535365616477494, 'velocity': 0.008023212226007615, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7071819305419922, 'x': -2.075584334178234, 'y': -0.03286378685149966, 'z': 0.7474771669095118, 'yaw': 0.04535290335550742, 'velocity': 0.0066615994133096745, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7171554565429688, 'x': -2.075581902942809, 'y': -0.03286260578396894, 'z': 0.7474691915975724, 'yaw': 0.0452046032102378, 'velocity': 0.0008443244922420965, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.723139762878418, 'x': -2.075592656734726, 'y': -0.03280891268713751, 'z': 0.7474364867983699, 'yaw': 0.044492738779058794, 'velocity': 0.010658280564325124, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7371022701263428, 'x': -2.0755697241630493, 'y': -0.03286897572583155, 'z': 0.747504657658412, 'yaw': 0.04490109934254591, 'velocity': 0.009400376260771861, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7470757961273193, 'x': -2.0755875311600147, 'y': -0.032849622395875674, 'z': 0.7474955376510036, 'yaw': 0.04531223315097627, 'velocity': 0.0027909387240544403, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7570490837097168, 'x': -2.0755764739896065, 'y': -0.03284121923292118, 'z': 0.7474976609072832, 'yaw': 0.04522089778333995, 'velocity': 0.0014086913601394973, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.763033151626587, 'x': -2.0755900321536265, 'y': -0.0328642496050043, 'z': 0.7474741544380481, 'yaw': 0.04500891698767091, 'velocity': 0.0059477593737946735, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7779927253723145, 'x': -2.0755719891550757, 'y': -0.032845141750158215, 'z': 0.7474838722008554, 'yaw': 0.045220500825646964, 'velocity': 0.002554003783447341, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7879691123962402, 'x': -2.0755884653737913, 'y': -0.03287000408534537, 'z': 0.7474797500062969, 'yaw': 0.04493559631539752, 'velocity': 0.0030180965378014788, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7969427108764648, 'x': -2.075601137181202, 'y': -0.03280946872363267, 'z': 0.747453597349796, 'yaw': 0.04437264949809915, 'velocity': 0.007483015944935513, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
